category,n,d,k,iters,total_time_s,ms_per_iter
easy,3840,16,256,5,0.011384010314941406,2.2768020629882812
easy,7680,16,256,7,0.018818378448486328,2.6883397783551897
easy,15360,16,256,11,0.1865537166595459,16.959428787231445
easy,30720,16,256,18,0.10910487174987793,6.061381763882107
easy,61440,16,256,23,0.31415414810180664,13.658876004426377
easy,122880,16,256,32,0.7479603290557861,23.373760282993317
easy,245760,16,256,29,0.716094970703125,24.69293002424569
easy,491520,16,256,43,2.146838426589966,49.92647503697595
easy,983040,16,256,44,4.1178224086761475,93.58687292445791
easy,1966080,16,256,51,7.731419324874878,151.59645735048778
easy,3932160,16,256,41,12.706256866455078,309.90870405988
easy,7864320,16,256,43,23.664289474487305,550.3323133601699
easy,15728640,16,256,29,32.96208095550537,1136.6234812243233
easy,31457280,16,256,23,53.5532329082489,2328.401430793431
hard,3840,16,256,17,0.023880958557128906,1.4047622680664062
hard,7680,16,256,30,0.061567068099975586,2.0522356033325195
hard,15360,16,256,43,0.23242926597595215,5.4053317668826075
hard,30720,16,256,64,0.39136385917663574,6.1150602996349335
hard,61440,16,256,98,1.4877443313598633,15.18106460571289
hard,122880,16,256,130,1.6378302574157715,12.598694287813627
hard,245760,16,256,251,6.3968870639801025,25.48560583259005
hard,491520,16,256,445,18.530386209487915,41.64131732469195
hard,983040,16,256,226,15.900586605072021,70.35657789854876
hard,1966080,16,256,374,47.56479859352112,127.17860586502971
hard,3932160,16,256,551,134.23308849334717,243.61722049609287
hard,7864320,16,256,557,257.3920476436615,462.1042148001104
hard,15728640,16,256,629,579.4101593494415,921.1608256747878
hard,31457280,16,256,838,1498.3550341129303,1788.0131671992008
